player,team,year_signed,years,contract_type,total_value,apy,guaranteed,fully_guaranteed,apy_pct_cap,unknown,inflated_value,inflated_apy,inflated_guaranteed,player_key,contract_id,pff_player_id,player_game_count,grades_offense,grades_pass_route,yprr,targets,receptions,yards,touchdowns,drop_rate,contested_catch_rate,avg_depth_of_target,slot_rate,wide_rate,yards_after_catch_per_reception,yards_per_reception,caught_percent,avoided_tackles,routes,first_downs,pass_plays,seasons_found,games_n1,injury_flag
Kendrick Bourne,Cardinals,2026,2.0,,10000000.0,5000000.0,6500000.0,,0.017,,10000000,5000000,6500000,kendrick bourne,384,12270,15.2,62.849999999999994,64.24,1.331,48.4,34.300000000000004,462.7,0.7,10.559999999999999,45.72,10.65,25.36,74.55,4.31,13.309999999999999,71.32000000000001,4.4,346.59999999999997,21.599999999999998,365.2,3,18.0,0
Anquan Boldin,Bills,2017,1.0,,2750000.0,2750000.0,0.0,,0.016,,4959880,4959880,0,anquan boldin,386,1369,15.999999999999998,68.47,68.85,1.293,100.6,70.39999999999999,707.7,6.5,6.8100000000000005,60.0,7.2299999999999995,75.04,24.4,3.9700000000000006,9.98,70.25,8.100000000000001,553.3,41.300000000000004,591.1,3,17.0,0
Chester Rogers,Colts,2019,1.0,,3095000.0,3095000.0,0.0,,0.016,,4953316,4953316,0,chester rogers,387,10918,14.8,61.21,61.739999999999995,1.148,63.099999999999994,45.99999999999999,449.09999999999997,1.5,11.569999999999999,27.720000000000002,8.08,68.54999999999998,30.849999999999998,4.25,10.53,70.65999999999998,4.4,382.8,26.0,404.4,3,17.0,0
Robbie Chosen,Jets,2019,1.0,,3095000.0,3095000.0,0.0,,0.016,,4953316,4953316,0,robbie chosen,388,11254,14.799999999999999,68.2,69.89999999999999,1.734,93.0,53.1,792.2,5.8999999999999995,7.279999999999999,32.0,16.150000000000002,23.64,76.03,3.7899999999999996,14.87,57.14,3.1,455.29999999999995,30.599999999999998,474.8,3,14.0,0
Quincy Enunwa,Jets,2018,1.0,,2914000.0,2914000.0,0.0,,0.016,,4953142,4953142,0,quincy enunwa,389,8843,6.0,26.33,25.720000000000002,0.571,33.9,19.599999999999998,288.59999999999997,1.2,7.54,9.989999999999998,3.9400000000000004,29.8,7.029999999999999,2.51,5.870000000000001,22.82,4.5,195.5,12.1,206.89999999999998,2,,0
Tyrell Williams,Chargers,2018,1.0,,2914000.0,2914000.0,0.0,,0.016,,4953142,4953142,0,tyrell williams,390,10154,14.7,65.25,65.50999999999999,1.81,74.69999999999999,46.7,763.5,4.6,14.1,29.16,14.56,34.11,65.86,9.68,19.229999999999997,59.91,6.299999999999999,484.3,31.9,513.9,3,16.0,0
Adam Humphries,Buccaneers,2018,1.0,,2914000.0,2914000.0,0.0,,0.016,,4953142,4953142,0,adam humphries,391,10075,15.4,63.949999999999996,63.36999999999999,1.268,76.3,55.800000000000004,591.1999999999999,1.3,5.97,56.279999999999994,6.54,78.98,19.14,5.54,10.530000000000001,72.81,5.6,460.5,30.3,496.2,3,16.0,0
Rod Streater,Raiders,2015,1.0,,2356000.0,2356000.0,0.0,,0.016,,4952730,4952730,0,rod streater,392,7416,6.6,59.88,60.629999999999995,1.416,36.0,23.4,316.79999999999995,1.7999999999999998,7.89,0.0,9.209999999999999,50.97,38.849999999999994,3.54,10.02,60.66,0.3,181.5,14.7,191.4,2,3.0,1
Jermaine Kearse,Seahawks,2015,1.0,,2356000.0,2356000.0,0.0,,0.016,,4952730,4952730,0,jermaine kearse,393,7428,16.2,62.7,61.58999999999999,1.374,62.099999999999994,35.7,591.5999999999999,3.5999999999999996,7.739999999999998,0.0,13.59,38.49,50.459999999999994,4.68,14.940000000000001,51.959999999999994,3.3,395.09999999999997,22.2,418.5,2,18.0,0
Dontrelle Inman,LAC/CHI,2017,1.0,,2746000.0,2746000.0,0.0,,0.016,,4952666,4952666,0,dontrelle inman,394,6597,14.0,68.07,66.69000000000001,1.369,73.0,46.5,647.5999999999999,3.3,7.76,30.0,11.75,46.849999999999994,52.650000000000006,3.98,13.89,64.11,2.1999999999999997,484.59999999999997,29.499999999999996,518.1999999999999,3,16.0,0
Taylor Gabriel,Falcons,2017,1.0,,2746000.0,2746000.0,0.0,,0.016,,4952666,4952666,0,taylor gabriel,395,9002,15.1,75.99,75.33,1.954,57.5,38.599999999999994,585.5999999999999,3.6999999999999997,8.089999999999998,30.0,10.6,29.79,69.83,6.789999999999999,14.45,66.82,6.199999999999999,295.2,22.700000000000003,316.40000000000003,3,16.0,0
